Code,Area,Unem_WhiteUK_2016,Unem_WhitenotUK_2016,Unem_MinorUK_2016,Unem_MinornotUK_2016,EInActive_WhiteUK_2016,EInActive_WhitenotUK_2016,EInActive_MinorUK_2016,EInActive_MinornotUK_2016
00AB,Barking and Dagenham,11.7,0,9.6,5.4,32.6,17.2,28.2,26.8
00AC,Barnet,2,0,0,7.1,26.2,20.4,29.5,33.9
00AD,Bexley,4.5,0,0,0,19.2,15.1,11.1,19.7
00AE,Brent,8.3,5.5,7.4,8.6,18.1,17.4,30.3,28.6
00AF,Bromley,3,0,0,12.5,18.5,15.2,29.8,18.8
00AG,Camden,3.8,0,18.5,7.1,24.7,15,39.1,35.9
00AH,Croydon,6.2,5,5.6,5,17.1,17.1,17.6,20.4
00AJ,Ealing,2,6.1,7.9,8.6,13.8,14.7,22.6,29.7
00AK,Enfield,4.6,4.6,15.5,3.1,18.2,35.5,25.8,28.9
00AL,Greenwich,5.9,4,13.9,8,22.5,6.7,20.6,27.4
00AM,Hackney,3.9,7.2,16.7,10.7,19.5,10.4,39.9,35.3
00AN,Hammersmith and Fulham,3.1,1.9,8.5,0,19.6,18.6,19.7,28.9
00AP,Haringey,5,0,5.7,7.6,18.4,21.2,28.4,30.7
00AQ,Harrow,0,0,9.8,9.8,19.4,23,23.5,25
00AR,Havering,3.4,0,0,0,17,21.1,0,18.8
00AS,Hillingdon,4,0,0,4.9,24.2,18.2,19.9,17.6
00AT,Hounslow,0,0,7.8,7.5,20.6,16.2,24.2,25.6
00AU,Islington,6,4.4,8.7,11.3,20,13.9,25.9,39.4
00AW,Kensington and Chelsea,3.5,5.4,42.1,3.8,21.2,25.3,30.5,35.1
00AX,Kingston upon Thames,1.8,4.5,0,8.4,21.4,17.7,44.9,25.4
00AY,Lambeth,2.7,0,13.4,13.8,15.4,4.8,20.8,16.5
00AZ,Lewisham,5.7,0,12.3,9.8,19.2,19.6,22.9,19.8
00BA,Merton,0,2.6,0,8.3,18.2,13.3,26,25.8
00BB,Newham,5.8,3.3,10.4,5.8,20.3,9.6,37.5,27.8
00BC,Redbridge,0,5.6,14.5,5.1,19.4,12,25.9,27.2
00BD,Richmond upon Thames,3.9,5.6,0,18.2,16.3,14.3,20,12.8
00BE,Southwark,4.7,10.7,13,7,13.6,12.5,38.2,16.8
00BF,Sutton,4.2,0,0,5.8,16.1,19.4,11,21.5
00BG,Tower Hamlets,6.8,0,20.4,15.2,13.2,7.5,30.3,33.6
00BH,Waltham Forest,4.8,6.5,10.5,0,20,11,35.6,22.7
00BJ,Wandsworth,1.8,3,10.1,4.7,16.6,12.8,12.6,24.1
00BK,Westminster,3.1,3.5,10.1,12.6,22.8,17.1,39.9,37.5
