Code,Area,Unem_WhiteUK_2018,Unem_WhitenotUK_2018,Unem_MinorUK_2018,Unem_MinornotUK_2018,EInActive_WhiteUK_2018,EInActive_WhitenotUK_2018,EInActive_MinorUK_2018,EInActive_MinornotUK_2018
00AB,Barking and Dagenham,5.1,0,9.7,4.8,31.2,17.7,33.7,25.8
00AC,Barnet,3.7,0,0,9.4,20.3,17.8,39.5,27.9
00AD,Bexley,2,0,11.7,0,20.8,18.6,34.9,16.2
00AE,Brent,0,0,11.4,5.6,24.9,10.9,29.2,28.6
00AF,Bromley,5.6,0,0,0,19.5,8.5,21.8,21.6
00AG,Camden,3,0,7.7,6.2,25.3,11.3,34.3,30.2
00AH,Croydon,2.9,0,0,4.8,22.4,10.3,21.7,22.7
00AJ,Ealing,2.9,9.2,6,10.5,16.3,16.9,21.6,29.1
00AK,Enfield,6,4.8,0,0,26.2,27.4,25.3,28
00AL,Greenwich,6,6.9,10.7,5.5,20.4,12.3,29.1,36.2
00AM,Hackney,3,0,14.4,9,17,13.2,34.6,38
00AN,Hammersmith and Fulham,2.9,3.6,16.2,7.6,16.1,18.3,26.7,20.8
00AP,Haringey,2.7,0,18.8,7,21.5,12.6,37.9,27.5
00AQ,Harrow,0,0,0,4.4,21.4,13.6,24.1,19.6
00AR,Havering,5.2,0,0,0,16.8,16.1,21.4,14.8
00AS,Hillingdon,3.2,0,8.8,4.7,18.9,13.1,25,25.7
00AT,Hounslow,0,0,11.2,6.4,20.5,13.8,16.3,17.7
00AU,Islington,1.4,8.6,11.9,10.2,14.4,12.8,38,34.3
00AW,Kensington and Chelsea,3.7,4.6,16.7,14.7,36.1,30.4,36.3,39.9
00AX,Kingston upon Thames,7.2,0,0,10.5,17.8,24.7,33.6,27.7
00AY,Lambeth,2.9,3.4,13.2,13,17.9,0,21.9,27.5
00AZ,Lewisham,3,4.9,8.5,4.7,15.2,12.5,18.6,26.6
00BA,Merton,1.7,0,10.1,6.5,13.2,11.9,23.7,16
00BB,Newham,0,5.2,14.5,0,29.7,11.7,30.8,31.8
00BC,Redbridge,2.9,3,6.3,7.8,20.5,16.4,37.9,32.2
00BD,Richmond upon Thames,2.1,0,21.7,0,20,14.5,14.8,26.2
00BE,Southwark,4.8,2.3,9.6,12.3,13.7,10.9,24.6,25.6
00BF,Sutton,4.1,0,8.1,4.3,17.1,6.2,20.8,18.1
00BG,Tower Hamlets,4.9,3.7,0,10.2,12.4,4.2,37.6,36.2
00BH,Waltham Forest,0,0,9.2,0,11.1,14.3,21.6,34.1
00BJ,Wandsworth,3.6,3.3,0,0,16.4,8.6,30.9,17.5
00BK,Westminster,7.6,0,15.6,0,23.2,14.8,40.3,39.8
