"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"78","Barking and Dagenham","E09000002","Sexual Offences",2011-01-01,29
"79","Barking and Dagenham","E09000002","Theft and Handling",2011-01-01,469
"80","Barking and Dagenham","E09000002","Violence Against the Person",2011-01-01,302
"81","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-02-01,175
"82","Barking and Dagenham","E09000002","Burglary",2011-02-01,173
"83","Barking and Dagenham","E09000002","Drug Offences",2011-02-01,57
"84","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-02-01,69
"85","Barking and Dagenham","E09000002","Robbery",2011-02-01,92
"86","Barking and Dagenham","E09000002","Sexual Offences",2011-02-01,16
"87","Barking and Dagenham","E09000002","Theft and Handling",2011-02-01,488
"88","Barking and Dagenham","E09000002","Violence Against the Person",2011-02-01,320
"89","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-03-01,196
"90","Barking and Dagenham","E09000002","Burglary",2011-03-01,219
"91","Barking and Dagenham","E09000002","Drug Offences",2011-03-01,78
"92","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-03-01,92
"93","Barking and Dagenham","E09000002","Robbery",2011-03-01,112
"94","Barking and Dagenham","E09000002","Sexual Offences",2011-03-01,27
"95","Barking and Dagenham","E09000002","Theft and Handling",2011-03-01,537
"96","Barking and Dagenham","E09000002","Violence Against the Person",2011-03-01,308
"97","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-04-01,207
"98","Barking and Dagenham","E09000002","Burglary",2011-04-01,205
"99","Barking and Dagenham","E09000002","Drug Offences",2011-04-01,83
"100","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-04-01,89
"101","Barking and Dagenham","E09000002","Robbery",2011-04-01,107
"102","Barking and Dagenham","E09000002","Sexual Offences",2011-04-01,13
"103","Barking and Dagenham","E09000002","Theft and Handling",2011-04-01,539
"104","Barking and Dagenham","E09000002","Violence Against the Person",2011-04-01,329
"105","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-05-01,215
"106","Barking and Dagenham","E09000002","Burglary",2011-05-01,194
"107","Barking and Dagenham","E09000002","Drug Offences",2011-05-01,110
"108","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-05-01,77
"109","Barking and Dagenham","E09000002","Robbery",2011-05-01,86
"110","Barking and Dagenham","E09000002","Sexual Offences",2011-05-01,29
"111","Barking and Dagenham","E09000002","Theft and Handling",2011-05-01,596
"112","Barking and Dagenham","E09000002","Violence Against the Person",2011-05-01,382
"113","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-06-01,186
"114","Barking and Dagenham","E09000002","Burglary",2011-06-01,159
"115","Barking and Dagenham","E09000002","Drug Offences",2011-06-01,103
"116","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-06-01,86
"117","Barking and Dagenham","E09000002","Robbery",2011-06-01,87
"118","Barking and Dagenham","E09000002","Sexual Offences",2011-06-01,22
"119","Barking and Dagenham","E09000002","Theft and Handling",2011-06-01,557
"120","Barking and Dagenham","E09000002","Violence Against the Person",2011-06-01,366
"121","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-07-01,163
"122","Barking and Dagenham","E09000002","Burglary",2011-07-01,170
"123","Barking and Dagenham","E09000002","Drug Offences",2011-07-01,74
"124","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-07-01,108
"125","Barking and Dagenham","E09000002","Robbery",2011-07-01,92
"126","Barking and Dagenham","E09000002","Sexual Offences",2011-07-01,22
"127","Barking and Dagenham","E09000002","Theft and Handling",2011-07-01,575
"128","Barking and Dagenham","E09000002","Violence Against the Person",2011-07-01,369
"129","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-08-01,211
"130","Barking and Dagenham","E09000002","Burglary",2011-08-01,194
"131","Barking and Dagenham","E09000002","Drug Offences",2011-08-01,123
"132","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-08-01,70
"133","Barking and Dagenham","E09000002","Robbery",2011-08-01,76
"134","Barking and Dagenham","E09000002","Sexual Offences",2011-08-01,20
"135","Barking and Dagenham","E09000002","Theft and Handling",2011-08-01,555
"136","Barking and Dagenham","E09000002","Violence Against the Person",2011-08-01,381
"137","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-09-01,158
"138","Barking and Dagenham","E09000002","Burglary",2011-09-01,163
"139","Barking and Dagenham","E09000002","Drug Offences",2011-09-01,96
"140","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-09-01,72
"141","Barking and Dagenham","E09000002","Robbery",2011-09-01,66
"142","Barking and Dagenham","E09000002","Sexual Offences",2011-09-01,17
"143","Barking and Dagenham","E09000002","Theft and Handling",2011-09-01,431
"144","Barking and Dagenham","E09000002","Violence Against the Person",2011-09-01,329
"145","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-10-01,157
"146","Barking and Dagenham","E09000002","Burglary",2011-10-01,201
"147","Barking and Dagenham","E09000002","Drug Offences",2011-10-01,51
"148","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-10-01,61
"149","Barking and Dagenham","E09000002","Robbery",2011-10-01,70
"150","Barking and Dagenham","E09000002","Sexual Offences",2011-10-01,21
"151","Barking and Dagenham","E09000002","Theft and Handling",2011-10-01,459
"152","Barking and Dagenham","E09000002","Violence Against the Person",2011-10-01,339
"153","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-11-01,165
"154","Barking and Dagenham","E09000002","Burglary",2011-11-01,230
"155","Barking and Dagenham","E09000002","Drug Offences",2011-11-01,86
"156","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-11-01,77
"157","Barking and Dagenham","E09000002","Robbery",2011-11-01,75
"158","Barking and Dagenham","E09000002","Sexual Offences",2011-11-01,21
"159","Barking and Dagenham","E09000002","Theft and Handling",2011-11-01,462
"160","Barking and Dagenham","E09000002","Violence Against the Person",2011-11-01,331
"161","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-12-01,166
"162","Barking and Dagenham","E09000002","Burglary",2011-12-01,234
"163","Barking and Dagenham","E09000002","Drug Offences",2011-12-01,60
"164","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-12-01,79
"165","Barking and Dagenham","E09000002","Robbery",2011-12-01,87
"166","Barking and Dagenham","E09000002","Sexual Offences",2011-12-01,12
"167","Barking and Dagenham","E09000002","Theft and Handling",2011-12-01,424
"168","Barking and Dagenham","E09000002","Violence Against the Person",2011-12-01,308
"169","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-01-01,149
"170","Barking and Dagenham","E09000002","Burglary",2012-01-01,230
"171","Barking and Dagenham","E09000002","Drug Offences",2012-01-01,92
"172","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-01-01,84
"173","Barking and Dagenham","E09000002","Robbery",2012-01-01,105
"174","Barking and Dagenham","E09000002","Sexual Offences",2012-01-01,28
"175","Barking and Dagenham","E09000002","Theft and Handling",2012-01-01,455
"176","Barking and Dagenham","E09000002","Violence Against the Person",2012-01-01,306
"177","Barking and Dagenham","E09000002","Arson and Criminal Damage",2012-02-01,119
"178","Barking and Dagenham","E09000002","Burglary",2012-02-01,189
"179","Barking and Dagenham","E09000002","Drug Offences",2012-02-01,63
"180","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2012-02-01,74
"181","Barking and Dagenham","E09000002","Robbery",2012-02-01,78
"182","Barking and Dagenham","E09000002","Sexual Offences",2012-02-01,24
"183","Barking and Dagenham","E09000002","Theft and Handling",2012-02-01,498
