"Area","Unem_WhiteUK_2018","Unem_WhitenotUK_2018","Unem_MinorUK_2018","Unem_MinornotUK_2018","EInActive_WhiteUK_2018","EInActive_WhitenotUK_2018","EInActive_MinorUK_2018","EInActive_MinornotUK_2018","Unem_rate_2018","Einactive_rate_2018"
"Barking and Dagenham",5.1,0,9.7,4.8,31.2,17.7,33.7,25.8,4.6046046046046,27.4741506646972
"Barnet",3.7,0,0,9.4,20.3,17.8,39.5,27.9,3.76610505450942,24.1229798975168
"Bexley",2,0,11.7,0,20.8,18.6,34.9,16.2,2.11433046202036,21.1599745060548
"Brent",0,0,11.4,5.6,24.9,10.9,29.2,28.6,4.68564650059312,24.8288452761296
"Bromley",5.6,0,0,0,19.5,8.5,21.8,21.6,3.91583869082408,18.4442270058708
"Camden",3,0,7.7,6.2,25.3,11.3,34.3,30.2,3.41939986043266,24.2157402311502
"Croydon",2.9,0,0,4.8,22.4,10.3,21.7,22.7,2.5012025012025,20.7020343039489
"Ealing",2.9,9.2,6,10.5,16.3,16.9,21.6,29.1,5.66448801742919,21.3339222614841
"Enfield",6,4.8,0,0,26.2,27.4,25.3,28,3.51728320194057,26.7468764460898
"Greenwich",6,6.9,10.7,5.5,20.4,12.3,29.1,36.2,5.48941798941799,24.2923314462172
"Hackney",3,0,14.4,9,17,13.2,34.6,38,5.69371727748691,25.6663376110563
"Hammersmith and Fulham",2.9,3.6,16.2,7.6,16.1,18.3,26.7,20.8,5.3030303030303,18.882769472856
"Haringey",2.7,0,18.8,7,21.5,12.6,37.9,27.5,4.47856685860525,22.5888324873096
"Harrow",0,0,0,4.4,21.4,13.6,24.1,19.6,1.70015455950541,19.6625567813108
"Havering",5.2,0,0,0,16.8,16.1,21.4,14.8,4.11849710982659,16.9576059850374
"Hillingdon",3.2,0,8.8,4.7,18.9,13.1,25,25.7,4.20590081607031,21.6691804927099
"Hounslow",0,0,11.2,6.4,20.5,13.8,16.3,17.7,4.01579986833443,17.7580466148724
"Islington",1.4,8.6,11.9,10.2,14.4,12.8,38,34.3,5.09641873278237,19.8504027617952
"Kensington and Chelsea",3.7,4.6,16.7,14.7,36.1,30.4,36.3,39.9,7.84844384303112,35.2941176470588
"Kingston upon Thames",7.2,0,0,10.5,17.8,24.7,33.6,27.7,6.43153526970954,22.3893065998329
"Lambeth",2.9,3.4,13.2,13,17.9,0,21.9,27.5,6.95737383635473,17.504118616145
"Lewisham",3,4.9,8.5,4.7,15.2,12.5,18.6,26.6,4.39684329199549,17.4407582938389
"Merton",1.7,0,10.1,6.5,13.2,11.9,23.7,16,3.21782178217822,14.6888567293777
"Newham",0,5.2,14.5,0,29.7,11.7,30.8,31.8,4.65631929046563,27.175697865353
"Redbridge",2.9,3,6.3,7.8,20.5,16.4,37.9,32.2,5.02680965147453,27.1777003484321
"Richmond upon Thames",2.1,0,21.7,0,20,14.5,14.8,26.2,2.22016651248844,19.0746753246753
"Southwark",4.8,2.3,9.6,12.3,13.7,10.9,24.6,25.6,6.23732251521298,17.0636639237765
"Sutton",4.1,0,8.1,4.3,17.1,6.2,20.8,18.1,3.04386750223814,16.0340821068939
"Tower Hamlets",4.9,3.7,0,10.2,12.4,4.2,37.6,36.2,5.3781512605042,22.6996527777778
"Waltham Forest",0,0,9.2,0,11.1,14.3,21.6,34.1,1.81464679196371,19.5815450643777
"Wandsworth",3.6,3.3,0,0,16.4,8.6,30.9,17.5,2.7431421446384,16.3667523564696
"Westminster",7.6,0,15.6,0,23.2,14.8,40.3,39.8,3.92609699769053,28.0487804878049
