Code,Area,Unem_WhiteUK_2017,Unem_WhitenotUK_2017,Unem_MinorUK_2017,Unem_MinornotUK_2017,EInActive_WhiteUK_2017,EInActive_WhitenotUK_2017,EInActive_MinorUK_2017,EInActive_MinornotUK_2017
00AB,Barking and Dagenham,13.3,0,13.6,7.6,24.8,17.1,26.5,27.2
00AC,Barnet,3.7,0,0,0,21.8,18,34.5,24.5
00AD,Bexley,3.5,0,0,6.9,22.2,18.3,17.2,20.1
00AE,Brent,8.5,2.7,13.2,6.8,20.3,16.8,30.1,30.4
00AF,Bromley,4.5,0,10.8,0,18.6,12.5,19.5,19.3
00AG,Camden,7.4,6.9,0,5.1,26.9,25.1,35.6,32.7
00AH,Croydon,7.2,5.8,8.7,9.4,16.3,17.6,22.7,23.3
00AJ,Ealing,3,0,16.1,3.6,17.9,11.9,16.7,28.8
00AK,Enfield,4.5,7.5,11.2,7.1,25.6,29.1,25.9,25.9
00AL,Greenwich,5.5,0,12.2,7.6,21.7,12.7,25.6,26.5
00AM,Hackney,2.1,0,0,4.5,17.5,16.2,31.4,38
00AN,Hammersmith and Fulham,3.8,3.2,8.7,0,16.9,15.6,37.2,25.4
00AP,Haringey,2.8,7.1,12.7,17.4,19.2,24.1,42.4,34
00AQ,Harrow,0,0,8.4,4.4,15.5,11.2,23.3,21.3
00AR,Havering,4,7.3,0,0,20.7,19.5,10.5,24.3
00AS,Hillingdon,3.6,0,12.3,5.7,22.6,12.3,28,20.6
00AT,Hounslow,3.4,0,10.4,12.4,14.7,23.9,7.8,20.7
00AU,Islington,0,6.2,9.6,7.9,14.4,14.4,39.4,27.5
00AW,Kensington and Chelsea,5.7,6,13.8,10.7,28.2,21.6,15.5,33.7
00AX,Kingston upon Thames,3.1,4.6,0,0,18.4,19.3,29,27.9
00AY,Lambeth,1.7,11.3,8.5,0,14.5,9.2,22,16.8
00AZ,Lewisham,2.3,0,8,6.9,11.9,8.4,19.7,16.4
00BA,Merton,2,0,0,3.6,17.1,10,21.2,25.5
00BB,Newham,5.9,3.8,7.1,7.5,16.8,6.9,36.9,34.5
00BC,Redbridge,0,6.3,10.7,9.4,17.5,20.9,27.8,27.2
00BD,Richmond upon Thames,3.2,0,0,0,20,19.4,39.4,34
00BE,Southwark,4.4,5.4,16.5,5.7,12.1,10.2,20.3,23
00BF,Sutton,5.2,0,0,6.8,13.4,9.1,26,21.7
00BG,Tower Hamlets,3.5,0,14.2,17.9,30,13.4,39.9,36.7
00BH,Waltham Forest,2,0,14.9,5.1,12,10.8,30,29.1
00BJ,Wandsworth,2.6,0,0,0,16.6,10.2,35,24.6
00BK,Westminster,8.9,1.9,11,7.2,28.3,15.3,26,47.1
