Code,Area,Unem_WhiteUK_2019,Unem_WhitenotUK_2019,Unem_MinorUK_2019,Unem_MinornotUK_2019,EInActive_WhiteUK_2019,EInActive_WhitenotUK_2019,EInActive_MinorUK_2019,EInActive_MinornotUK_2019
00AB,Barking and Dagenham,5.8,5.3,0,5.9,24.8,24.6,34.3,24.3
00AC,Barnet,2.6,0,16.3,9.9,21.3,21.6,22.7,22
00AD,Bexley,4,0,0,11.1,21.5,14.5,31.9,16.5
00AE,Brent,0,7.2,6.4,5.6,23.1,8,28.5,28.3
00AF,Bromley,2.3,0,0,0,19.6,11.2,22.9,23
00AG,Camden,3.4,0,12.4,13.2,17.3,16.6,53.9,34.3
00AH,Croydon,3.6,0,6.4,3.8,23,15.2,21.2,21.3
00AJ,Ealing,0,0,0,7.6,23.8,12.6,31.5,26.8
00AK,Enfield,7.8,4.9,13.7,5.6,29.5,23.9,33.3,29
00AL,Greenwich,4.9,0,10.6,5.4,19.2,5,32.6,22
00AM,Hackney,0,0,11.7,11,17.5,15.6,35.9,34.9
00AN,Hammersmith and Fulham,3.9,0,0,0,17.3,11.4,43,35.4
00AP,Haringey,0,3.7,0,4.6,21.5,13.3,33.7,21.8
00AQ,Harrow,0,0,11.5,3.8,29.9,24.4,24.7,29.4
00AR,Havering,5.9,0,0,0,21.5,11.6,18.8,23
00AS,Hillingdon,4.4,7,0,4.7,25.2,0,31.1,27.6
00AT,Hounslow,4.6,0,0,0,26.6,17,23.5,29.5
00AU,Islington,2.9,0,10.4,8.9,17.7,13,35.6,20.9
00AW,Kensington and Chelsea,2.8,0,12.4,11,26.8,22.8,34.5,42.4
00AX,Kingston upon Thames,2.2,0,0,5.4,16,11.6,30.8,29.8
00AY,Lambeth,4.5,8.6,8.5,5.6,19.5,11.3,17.4,14
00AZ,Lewisham,3.5,4.3,8.4,6.1,15,8.8,19.9,23.2
00BA,Merton,1.5,0,13.4,6,15.2,7.6,20.5,20.4
00BB,Newham,0,0,12.7,2.4,26.9,7.6,29.9,30.9
00BC,Redbridge,6.7,0,6.7,0,22.4,20.9,27.7,33.1
00BD,Richmond upon Thames,0,0,0,0,17.7,11.7,32,20
00BE,Southwark,0,5.8,7.5,7.2,14.9,9.6,29.5,25.6
00BF,Sutton,5.8,0,8.7,6.3,16.5,15.8,16.4,17.3
00BG,Tower Hamlets,1.9,4.3,6.9,4.9,10.8,8.2,41.9,40
00BH,Waltham Forest,3.7,5.6,8.3,16.7,18.4,14.9,20.8,31.7
00BJ,Wandsworth,4.2,2.8,9.7,0,14,13,17,30.6
00BK,Westminster,7,0,10.7,0,27.6,12.1,21.4,38
