Code,Area,Unem_WhiteUK_2014,Unem_WhitenotUK_2014,Unem_MinorUK_2014,Unem_MinornotUK_2014,EInActive_WhiteUK_2014,EInActive_WhitenotUK_2014,EInActive_MinorUK_2014,EInActive_MinornotUK_2014
00AB,Barking and Dagenham,8.9,7,22.1,12.1,32.8,23.7,28.6,24.8
00AC,Barnet,2.9,5.1,9.9,6.3,23.3,13,39.5,36
00AD,Bexley,4,0,0,8.3,21.9,0,23.9,14.6
00AE,Brent,4,0,12.1,8.6,18,19.6,27.4,32.8
00AF,Bromley,5.6,0,0,5.3,21.3,19.8,28.1,12.5
00AG,Camden,8,5.2,0,8.4,22.7,18.6,38.9,42.4
00AH,Croydon,5.2,0,18,10.1,20.6,15.5,24.9,20.4
00AJ,Ealing,6.4,6.3,12,8.3,20.2,15.5,27.1,36.4
00AK,Enfield,6.1,7.3,7.9,8.6,23,36.6,22.8,25.5
00AL,Greenwich,11.4,5.3,19.3,8.1,26.5,10.4,21.7,31.1
00AM,Hackney,2.1,6.3,19,13.3,14.7,14.1,41.9,35.1
00AN,Hammersmith and Fulham,3.5,9.3,0,4.2,16.2,14,26.1,30.4
00AP,Haringey,5.2,6.6,15,12,22.2,19.8,35.6,31.9
00AQ,Harrow,0,0,12.7,6.9,17.6,17.4,34.6,24.6
00AR,Havering,6.4,0,33.3,0,19.2,6.8,25.1,19.4
00AS,Hillingdon,5.2,0,13.9,9.4,21.5,11.3,23.5,30.1
00AT,Hounslow,5.4,0,16.7,7.7,20.6,16.8,21.6,21.4
00AU,Islington,4.2,7.6,0,18.4,17.8,24,37.4,45.1
00AW,Kensington and Chelsea,7.8,3,14.6,8.6,24.1,25.5,32.5,26.7
00AX,Kingston upon Thames,4.7,0,0,10,19.7,14.9,30.8,25.9
00AY,Lambeth,3.8,7.6,0,9.9,11.8,6.7,32.3,22
00AZ,Lewisham,2.8,7.9,7.7,6.4,21.2,14.3,19.5,26.7
00BA,Merton,7.6,0,12.3,8.2,15.9,13.6,24.4,28.3
00BB,Newham,0,8.6,16.5,9.8,32.8,25.4,39.2,32
00BC,Redbridge,7.1,7.8,11.8,3.1,21.6,18.9,21.7,33
00BD,Richmond upon Thames,5.2,0,13.5,0,17.9,12.9,26.7,21.2
00BE,Southwark,3.5,5.7,17.9,18,15.2,15.9,34.7,25.6
00BF,Sutton,4.5,0,0,7.3,14.6,21.2,40.1,23
00BG,Tower Hamlets,6.9,0,16.5,13.7,15,13.5,25.5,35.2
00BH,Waltham Forest,9.6,0,15,9.2,16.9,17.1,40.3,29.3
00BJ,Wandsworth,3.1,3.3,0,9,16.4,10.5,16.7,29.5
00BK,Westminster,2.6,6.2,9.8,7.9,21,20.7,38.8,41.8
