"Area","Unem_WhiteUK_2016","Unem_WhitenotUK_2016","Unem_MinorUK_2016","Unem_MinornotUK_2016","EInActive_WhiteUK_2016","EInActive_WhitenotUK_2016","EInActive_MinorUK_2016","EInActive_MinornotUK_2016","Unem_rate_2016","Einactive_rate_2016"
"Barking and Dagenham",11.7,0,9.6,5.4,32.6,17.2,28.2,26.8,7.08333333333333,27.3846153846154
"Barnet",2,0,0,7.1,26.2,20.4,29.5,33.9,2.4416135881104,27.4174293672901
"Bexley",4.5,0,0,0,19.2,15.1,11.1,19.7,3.13455657492355,18.4852374839538
"Brent",8.3,5.5,7.4,8.6,18.1,17.4,30.3,28.6,7.59860788863109,24.6630727762803
"Bromley",3,0,0,12.5,18.5,15.2,29.8,18.8,3.18208603417796,19.064039408867
"Camden",3.8,0,18.5,7.1,24.7,15,39.1,35.9,4.72263868065967,26.8965517241379
"Croydon",6.2,5,5.6,5,17.1,17.1,17.6,20.4,5.5793991416309,18.1083265966047
"Ealing",2,6.1,7.9,8.6,13.8,14.7,22.6,29.7,6.11260053619303,21.1033274956217
"Enfield",4.6,4.6,15.5,3.1,18.2,35.5,25.8,28.9,5.73012939001848,25.2938410907381
"Greenwich",5.9,4,13.9,8,22.5,6.7,20.6,27.4,7.15249662618084,21.1694639956687
"Hackney",3.9,7.2,16.7,10.7,19.5,10.4,39.9,35.3,7.87348586810229,25.3414264036419
"Hammersmith and Fulham",3.1,1.9,8.5,0,19.6,18.6,19.7,28.9,2.54716981132075,21.2977099236641
"Haringey",5,0,5.7,7.6,18.4,21.2,28.4,30.7,4.26356589147287,23.2415902140673
"Harrow",0,0,9.8,9.8,19.4,23,23.5,25,5.29953917050691,23.153320918684
"Havering",3.4,0,0,0,17,21.1,0,18.8,2.67857142857143,16.8467895740623
"Hillingdon",4,0,0,4.9,24.2,18.2,19.9,17.6,3.2,21.0393541876892
"Hounslow",0,0,7.8,7.5,20.6,16.2,24.2,25.6,3.91099123398517,22.3535733476625
"Islington",6,4.4,8.7,11.3,20,13.9,25.9,39.4,6.97151424287856,23.915592028136
"Kensington and Chelsea",3.5,5.4,42.1,3.8,21.2,25.3,30.5,35.1,8.17535545023697,27.1480804387569
"Kingston upon Thames",1.8,4.5,0,8.4,21.4,17.7,44.9,25.4,3.69978858350951,22.8763666947014
"Lambeth",2.7,0,13.4,13.8,15.4,4.8,20.8,16.5,5.35381750465549,14.2857142857143
"Lewisham",5.7,0,12.3,9.8,19.2,19.6,22.9,19.8,6.42523364485981,19.9430199430199
"Merton",0,2.6,0,8.3,18.2,13.3,26,25.8,2.46913580246914,19.7833935018051
"Newham",5.8,3.3,10.4,5.8,20.3,9.6,37.5,27.8,4.96996176952485,24.4444444444444
"Redbridge",0,5.6,14.5,5.1,19.4,12,25.9,27.2,5.53083280356008,22.8105906313646
"Richmond upon Thames",3.9,5.6,0,18.2,16.3,14.3,20,12.8,4.89082969432314,15.900233826968
"Southwark",4.7,10.7,13,7,13.6,12.5,38.2,16.8,7.45637228979376,18.5607722685388
"Sutton",4.2,0,0,5.8,16.1,19.4,11,21.5,3.79061371841155,17.0900692840647
"Tower Hamlets",6.8,0,20.4,15.2,13.2,7.5,30.3,33.6,10.0344036697248,22.3218287763335
"Waltham Forest",4.8,6.5,10.5,0,20,11,35.6,22.7,4.83870967741935,20.8714362560516
"Wandsworth",1.8,3,10.1,4.7,16.6,12.8,12.6,24.1,2.52317198764161,16.695652173913
"Westminster",3.1,3.5,10.1,12.6,22.8,17.1,39.9,37.5,6.31178707224335,27.5981524249423
