"Area","Unem_WhiteUK_2017","Unem_WhitenotUK_2017","Unem_MinorUK_2017","Unem_MinornotUK_2017","EInActive_WhiteUK_2017","EInActive_WhitenotUK_2017","EInActive_MinorUK_2017","EInActive_MinornotUK_2017","Unem_rate_2017","Einactive_rate_2017"
"Barking and Dagenham",13.3,0,13.6,7.6,24.8,17.1,26.5,27.2,9.23535253227408,24.6743295019157
"Barnet",3.7,0,0,0,21.8,18,34.5,24.5,1.620029455081,22.7504911591356
"Bexley",3.5,0,0,6.9,22.2,18.3,17.2,20.1,3.44287949921753,21.3554987212276
"Brent",8.5,2.7,13.2,6.8,20.3,16.8,30.1,30.4,7.16763005780347,25.6455921638468
"Bromley",4.5,0,10.8,0,18.6,12.5,19.5,19.3,4.17633410672854,18.1995133819951
"Camden",7.4,6.9,0,5.1,26.9,25.1,35.6,32.7,6.0672514619883,28.9887640449438
"Croydon",7.2,5.8,8.7,9.4,16.3,17.6,22.7,23.3,7.84688995215311,19.4955964771817
"Ealing",3,0,16.1,3.6,17.9,11.9,16.7,28.8,4.48916408668731,20.1112537441164
"Enfield",4.5,7.5,11.2,7.1,25.6,29.1,25.9,25.9,6.51780325890163,26.43470402169
"Greenwich",5.5,0,12.2,7.6,21.7,12.7,25.6,26.5,5.6915949702184,21.8172213417855
"Hackney",2.1,0,0,4.5,17.5,16.2,31.4,38,1.9404915912031,25
"Hammersmith and Fulham",3.8,3.2,8.7,0,16.9,15.6,37.2,25.4,3.19343065693431,20.4874333587205
"Haringey",2.8,7.1,12.7,17.4,19.2,24.1,42.4,34,7.55467196819085,26.2386248736097
"Harrow",0,0,8.4,4.4,15.5,11.2,23.3,21.3,2.82608695652174,18.0745341614907
"Havering",4,7.3,0,0,20.7,19.5,10.5,24.3,3.75,20.3691915977085
"Hillingdon",3.6,0,12.3,5.7,22.6,12.3,28,20.6,4.73263675476337,21.4214711729622
"Hounslow",3.4,0,10.4,12.4,14.7,23.9,7.8,20.7,7.50962772785623,18.4111647879764
"Islington",0,6.2,9.6,7.9,14.4,14.4,39.4,27.5,3.30806340454859,20.1814058956916
"Kensington and Chelsea",5.7,6,13.8,10.7,28.2,21.6,15.5,33.7,7.86650774731824,25.9570494864613
"Kingston upon Thames",3.1,4.6,0,0,18.4,19.3,29,27.9,2.57997936016512,21.3266162888329
"Lambeth",1.7,11.3,8.5,0,14.5,9.2,22,16.8,4.34380776340111,14.84
"Lewisham",2.3,0,8,6.9,11.9,8.4,19.7,16.4,3.46320346320346,13.2415757000475
"Merton",2,0,0,3.6,17.1,10,21.2,25.5,1.669449081803,18.2795698924731
"Newham",5.9,3.8,7.1,7.5,16.8,6.9,36.9,34.5,6.22568093385214,26.774595267746
"Redbridge",0,6.3,10.7,9.4,17.5,20.9,27.8,27.2,6.78182981445937,24.2378810594703
"Richmond upon Thames",3.2,0,0,0,20,19.4,39.4,34,2.05607476635514,22.8418640183346
"Southwark",4.4,5.4,16.5,5.7,12.1,10.2,20.3,23,6.38085742771685,15.4736390912988
"Sutton",5.2,0,0,6.8,13.4,9.1,26,21.7,4.37062937062937,15.8657513348589
"Tower Hamlets",3.5,0,14.2,17.9,30,13.4,39.9,36.7,9.21052631578947,31.0314685314685
"Waltham Forest",2,0,14.9,5.1,12,10.8,30,29.1,3.89105058365759,18.6623516720604
"Wandsworth",2.6,0,0,0,16.6,10.2,35,24.6,1.24804992199688,18.1660147761843
"Westminster",8.9,1.9,11,7.2,28.3,15.3,26,47.1,6.04133545310016,29.4117647058824
