"Area","Unem_WhiteUK_2012","Unem_WhitenotUK_2012","Unem_MinorUK_2012","Unem_MinornotUK_2012","EInActive_WhiteUK_2012","EInActive_WhitenotUK_2012","EInActive_MinorUK_2012","EInActive_MinornotUK_2012","Unem_rate_2012","Einactive_rate_2012"
"Barking and Dagenham",16.4,9.3,15.1,12.1,30.4,10.9,28.8,28.2,14.0589569160998,27.7038269550749
"Barnet",9.5,6.4,11.5,13,24.6,21.2,25.4,32.5,9.83969043670536,25.9352669188735
"Bexley",5.9,0,0,10.4,19.8,24.4,27.7,24.4,5.79831932773109,21.1420802175391
"Brent",11.3,3.4,13.9,12.4,21.7,16.3,30,27.5,10.9024833434282,25.1396648044693
"Bromley",5,0,16.5,7.7,20.6,24.9,12.4,25.6,5.48628428927681,21.0393541876892
"Camden",5.7,6.9,16.3,9.4,23,28.4,28.2,39,7.83132530120482,29.277566539924
"Croydon",7.8,0,21.6,12.6,19.1,16.4,17.6,22.8,10.5774144098109,19.6308724832215
"Ealing",11,3.1,27.7,13.7,18.1,12.5,29.6,33.1,12.3898678414097,24.013870827915
"Enfield",9.4,9.6,14.8,10.4,28.1,28.3,23.5,31.6,10.4377104377104,28.1558185404339
"Greenwich",9.8,6.6,12.3,14.2,22.1,15.7,24.2,26.2,10.5339105339105,22.2922636103152
"Hackney",3.3,9.6,10,22.2,15.4,28.5,40.2,44.1,9.41634241245136,29.7073440088349
"Hammersmith and Fulham",8.1,5,19.9,11.6,23.5,20.4,21.9,30.8,9.17073170731707,23.9939255884586
"Haringey",4.9,6.2,15.1,14.9,21.3,29.5,22.8,41.3,8.38323353293413,27.5747508305648
"Harrow",6.8,5.4,7.6,10.3,17.3,17.3,21.9,25.8,8.36621941594317,22.1019108280255
"Havering",8.8,12.1,16.9,0,24.5,17.2,15,28,8.88324873096447,23.8471673254282
"Hillingdon",8,0,17.7,13.8,22.7,24.2,22.5,21.8,9.63855421686747,22.551130247578
"Hounslow",6,9.1,14.5,5.5,17.1,17.9,23.5,30.1,7.39942528735632,22.0956719817768
"Islington",6.7,6.5,18.5,12.6,20.7,37.9,36.1,30.8,8.88129803586678,27.4968394437421
"Kensington and Chelsea",2.2,3.4,17,10.5,27.1,27.4,35.6,41.1,5.27638190954774,31.1700182815357
"Kingston upon Thames",5.8,4.4,0,12,16.8,26.1,37.8,39.4,6.31458094144661,24.1192411924119
"Lambeth",7.5,4.9,19,22.1,15.3,23.6,23.9,29,10.6753812636166,20.9007433318758
"Lewisham",6.6,8.6,15.8,15.1,21,17.4,29.4,33.6,9.92622401073105,24.6938775510204
"Merton",4.7,3.4,17.9,11.8,19.5,20.4,30.8,21.2,7.21461187214612,21.3762811127379
"Newham",4.7,3.6,17,19.9,33.6,13.2,32.8,30.5,14.7247119078105,29.2860391086858
"Redbridge",3.9,9.3,15.4,8.4,26.4,19.6,29.8,31.7,8.07407407407407,28.3315276273023
"Richmond upon Thames",5.2,0,0,12.3,20.9,17.5,25.1,20.8,4.51552210724365,20.4130262112788
"Southwark",6.6,8.2,20.6,12.1,23,10.4,28.5,30.7,9.78978978978979,23.3992467043314
"Sutton",6.7,11.5,0,5.3,19.5,20.9,23.9,18.5,6.43611911623439,19.7284345047923
"Tower Hamlets",5,4.5,15.6,20.2,17.8,13.3,52,36.7,11.7123795404003,30.1355578727842
"Waltham Forest",6.7,6.5,17.6,10.6,22.4,15.4,29.2,32.9,9.25925925925926,25.0563063063063
"Wandsworth",2.9,4.9,21.7,19,16.5,14.8,28.1,35.9,6.8426724137931,20.1413427561837
"Westminster",4.8,7.8,12.8,12.5,18.2,19.2,45.7,42.5,8.33333333333333,29.4942108470445
