"Area","Unem_WhiteUK_2019","Unem_WhitenotUK_2019","Unem_MinorUK_2019","Unem_MinornotUK_2019","EInActive_WhiteUK_2019","EInActive_WhitenotUK_2019","EInActive_MinorUK_2019","EInActive_MinornotUK_2019","Unem_rate_2019","Einactive_rate_2019"
"Barking and Dagenham",5.8,5.3,0,5.9,24.8,24.6,34.3,24.3,5.07177033492823,25.782957028405
"Barnet",2.6,0,16.3,9.9,21.3,21.6,22.7,22,5.24361948955916,21.7123023524875
"Bexley",4,0,0,11.1,21.5,14.5,31.9,16.5,4.12451361867704,20.6389776357827
"Brent",0,7.2,6.4,5.6,23.1,8,28.5,28.3,3.85487528344671,23.0525362318841
"Bromley",2.3,0,0,0,19.6,11.2,22.9,23,1.43348623853211,19.1499522445081
"Camden",3.4,0,12.4,13.2,17.3,16.6,53.9,34.3,5.14603616133519,25.4062838569881
"Croydon",3.6,0,6.4,3.8,23,15.2,21.2,21.3,3.31384015594542,20.830007980846
"Ealing",0,0,0,7.6,23.8,12.6,31.5,26.8,2.37819025522042,23.5428051001822
"Enfield",7.8,4.9,13.7,5.6,29.5,23.9,33.3,29,7.24815724815725,28.675799086758
"Greenwich",4.9,0,10.6,5.4,19.2,5,32.6,22,3.66232153941651,19.2229038854806
"Hackney",0,0,11.7,11,17.5,15.6,35.9,34.9,3.81436745073109,24.2483026188167
"Hammersmith and Fulham",3.9,0,0,0,17.3,11.4,43,35.4,1.76470588235294,21.4849921011058
"Haringey",0,3.7,0,4.6,21.5,13.3,33.7,21.8,1.93992490613267,20.8695652173913
"Harrow",0,0,11.5,3.8,29.9,24.4,24.7,29.4,3.95622895622896,27.515923566879
"Havering",5.9,0,0,0,21.5,11.6,18.8,23,4.0510127531883,20.6575682382134
"Hillingdon",4.4,7,0,4.7,25.2,0,31.1,27.6,4.18814432989691,23.75
"Hounslow",4.6,0,0,0,26.6,17,23.5,29.5,1.49466192170819,25.6607929515419
"Islington",2.9,0,10.4,8.9,17.7,13,35.6,20.9,4.20624151967436,19.4871794871795
"Kensington and Chelsea",2.8,0,12.4,11,26.8,22.8,34.5,42.4,4.50331125827815,30.22351797862
"Kingston upon Thames",2.2,0,0,5.4,16,11.6,30.8,29.8,2.12121212121212,19.3575655114117
"Lambeth",4.5,8.6,8.5,5.6,19.5,11.3,17.4,14,5.99707459775719,16.728624535316
"Lewisham",3.5,4.3,8.4,6.1,15,8.8,19.9,23.2,4.7645125958379,16.1634928007431
"Merton",1.5,0,13.4,6,15.2,7.6,20.5,20.4,4.09015025041736,15.8273381294964
"Newham",0,0,12.7,2.4,26.9,7.6,29.9,30.9,3.65153886280647,25.1589825119237
"Redbridge",6.7,0,6.7,0,22.4,20.9,27.7,33.1,3.22997416020672,26.8678871845621
"Richmond upon Thames",0,0,0,0,17.7,11.7,32,20,0,17.8257394084732
"Southwark",0,5.8,7.5,7.2,14.9,9.6,29.5,25.6,3.64014560582423,18.6643835616438
"Sutton",5.8,0,8.7,6.3,16.5,15.8,16.4,17.3,5.47219770520741,16.4893617021277
"Tower Hamlets",1.9,4.3,6.9,4.9,10.8,8.2,41.9,40,3.8917089678511,25.7749469214437
"Waltham Forest",3.7,5.6,8.3,16.7,18.4,14.9,20.8,31.7,6.51612903225806,20.2116402116402
"Wandsworth",4.2,2.8,9.7,0,14,13,17,30.6,3.87221684414327,16.156462585034
"Westminster",7,0,10.7,0,27.6,12.1,21.4,38,3.53649360421369,25.0291036088475
