"Area","Unem_WhiteUK_2013","Unem_WhitenotUK_2013","Unem_MinorUK_2013","Unem_MinornotUK_2013","EInActive_WhiteUK_2013","EInActive_WhitenotUK_2013","EInActive_MinorUK_2013","EInActive_MinornotUK_2013","Unem_rate_2013","Einactive_rate_2013"
"Barking and Dagenham",14.2,10.1,19.8,13.8,31.9,17,22.5,21.3,13.9890710382514,25.4349627174814
"Barnet",2.3,5.1,8.7,10.8,22.3,21.4,20.4,30.8,5.14976353126642,23.4851650647723
"Bexley",5.8,11.3,0,20.4,19.7,21.5,0,26.3,7.77591973244147,19.9863107460643
"Brent",9.1,4.1,13.6,10.8,23.8,13.9,27.2,28.2,9.78461538461539,24.9413970932958
"Bromley",6.6,0,0,0,20.8,16.5,19.5,14.5,5.00301386377336,19.7628458498024
"Camden",6.6,5.5,11.3,8.7,24.6,17.5,40.8,50.5,7.05073086844368,31.2807881773399
"Croydon",6.6,0,9.7,13.1,17.8,15.6,25.9,20.3,8.0563947633434,19.5751770095793
"Ealing",9.3,3.6,25.1,12,18.8,18.4,34.1,29.9,11.7075956596231,25.6108202443281
"Enfield",6.4,8.6,14.2,6.9,26.8,28.6,22.8,29,7.88787483702738,27.1078431372549
"Greenwich",9.6,0,20.5,12.9,31.9,18.7,18.9,27,10.3422053231939,27.683615819209
"Hackney",5.9,8.5,12.2,20.7,18.2,25.8,38.5,40.6,10.7413010590015,29.1871249318058
"Hammersmith and Fulham",4.1,2.7,9.5,17.8,21.1,19.5,23.5,40.7,6.03363006923838,24.4631901840491
"Haringey",4.4,3,18.2,16.2,19.3,25.7,23.3,38.1,8.45170454545454,25.1908396946565
"Harrow",6.2,9.1,12.3,11.4,18.5,19.4,26.2,29.7,9.62171052631579,24.7448979591837
"Havering",7.6,15.2,22.1,0,23.3,17.1,25.5,21.9,8.12395309882747,22.8740936058009
"Hillingdon",7.6,0,14.1,8.5,23,25.2,21.4,22.4,8.10810810810811,22.7633668607729
"Hounslow",5.7,2.6,13.5,10.9,17.3,19.7,17.5,22.2,7.86360473208072,19.6850393700787
"Islington",7.6,7.1,17.1,11.9,16.3,21,40.2,40,9.16530278232406,24.7176913425345
"Kensington and Chelsea",4.5,2.2,23.1,12.1,26.6,29.2,30.7,33,7.02634880803011,29.4007490636704
"Kingston upon Thames",5.4,8,0,7.3,18.2,21.5,33.1,26.9,5.88876772082879,21.2689901697945
"Lambeth",3.7,4.9,19,18.6,12.3,10.6,19.9,28.6,7.83730158730159,15.2860802732707
"Lewisham",9.9,4.8,15.6,14.4,17.6,20.1,13.7,29.2,10.644959298685,20.0606366851945
"Merton",5.3,0,16.5,4.6,15.2,14.3,40.9,28.2,4.38981562774363,19.9566160520607
"Newham",11.2,0,15.7,13.9,32.9,14.2,36.5,28.7,12.0177103099304,29.3111211166141
"Redbridge",4.9,7.2,19.9,11.5,23.8,13.7,24.6,28.8,10.5335157318741,24.7220751720487
"Richmond upon Thames",3,2.7,0,9.6,19,18.8,24.7,26.3,3.23809523809524,19.7916666666667
"Southwark",6.9,8.6,31.4,13,23.4,19.5,40.1,31.4,11.0696517412935,26.7463235294118
"Sutton",5.4,10.1,0,8.1,14.2,12.8,45.2,19.5,6.06909430438842,16.7993630573248
"Tower Hamlets",7,7.3,30.4,14.1,18.4,11.2,29.6,39.9,13.7014314928425,26.7633816908454
"Waltham Forest",8.2,4.6,12.7,6.1,18.6,14.8,27.8,31.7,7.52688172043011,23.2884399551066
"Wandsworth",5.6,8.5,30.4,13.2,16.4,14.8,22.1,24.5,9.3233883857219,17.6365264100269
"Westminster",5.3,4.2,10.9,8,18.9,21.7,42.8,42.2,6.0556464811784,28.9200732153752
